BAMBU,54,25,7
A,1,25,2
Barong C,383,25,7
Cilam A,393,25,10
Sawah A,76,25,8
Mahoni,324,25,6
Manggis B,399,25,7
Mindi,216,25,6
Asrama DKI,326,25,9
Walang C,381,25,9
DKI 412,412,25,7
Melur D,379,25,9
Cabe,24,25,6
Buntu A,42,25,7
Mantang,288,20,9
Jl. B2 RBU A,27,25,8
Pedongkelan,217,25,7
Buntu F,373,25,7
Jampea D,395,25,7
Asrama Yon Air,330,25,8
Bambu B,11,25,6
Manunggal B,348,25,8
Tipar,336,25,7
Buntu E,391,25,7
Mawar C,365,20,9
UKA B,366,20,7
DKI 328,328,25,8
DKI,30,25,9
Beting H,344,25,7
Mawar L,389,20,7
Cipucang A,397,25,7
Mawar M,387,20,9
Mawar B,385,20,7
Pembangunan B,38,25,7
Kosambi,346,25,8
Pembangunan C,103,25,10
Mangggis A,47,25,6
Yon Air,341,25,6
Yaspi,35,25,7
Semprotan D,265,25,7
Karya,350,25,7
Beting G,342,25,8
Lorong,332,20,7
Chibet B,43,25,7
Sapi D,352,25,7
Semprotan E,288,25,8
Jl. F B,17,25,7
Sapi A,29,25,7
Semprotan F,289,25,7
Jl. F L,33,25,6
Cipucang 334,334,25,7
Cemara A,360,25,7
Kakap B,358,25,11
Merdeka D,356,25,8
Merdeka C,354,25,7
Cemara B,362,25,7
Cipucang 80,80,25,10
Kakap A,51,25,10
Cipucang F,364,25,8
Kampung Kandang A,372,25,8
Bambu 54,54,25,0
Kampung Kandang B,374,25,9
Bambu 50,50,25,7
Semprotan,368,25,8
Kapal 162,162,20,8
Semprotan 370,370,25,7
Mawar 114,114,25,7
UKA C,116,20,9
Kapal,404,20,7
UKA A,125,20,8
UKA D,126,20,7
Bambu,163,20,7
Cipucang 378,378,25,10
Kincir,411,25,7
Cipucang 376,376,25,7
Jl. B Lagoa 101,101,20,10
Buntu A 22,22,25,8
Swadaya B,417,25,8
Buntu B,380,25,7
Jl. B Lagoa,398,25,10
Cemara,366,20,10
Mini,44,25,7
Mantang 124,124,20,8
Walang C 392,392,25,7
Melur,386,20,7
Batu Tumbuh A,254,25,8
Mawar,382,20,8
Walang A,388,25,10
Mawar 384,384,20,9
Bebek A,67,25,7
RW 02,55,25,8
Swadaya A,53,25,7
RW 01 C,390,25,6
Bebek D,409,25,6
Kampar,402,25,7
Jl. H RBU,394,25,8
BS,52,25,7
Mundu,396,25,7
Mawar 407,407,25,7
Sapi C,120,25,7
Batu Tumbuh B,256,25,8
Jampea,408,25,9
Jl. A 78,78,25,8
Jl. A,400,25,8
JL. F D,147,25,8
Sawah D,146,25,10
Jalan B,105,25,7
Landak C,406,25,8
Landak B,405,25,8
BS 111,111,25,8
Semprotan J,414,25,7
Jl. B,416,25,9
Yon Air 422,422,25,8
Binangun B,98,25,9
Jl. B Lagoa 254,254,25,7
Kampung Kandang,423,25,8
Bambu 107,107,25,7
Mundu 81,81,25,8
Jl. F,410,25,7
Walang E,429,25,10
Kakap D,425,25,7
Kakap C,424,25,7
Cipucang 109,109,25,8
Kandang Sapi F,436,25,7
Sapi E,427,25,7
Kelapa A,428,25,7
Kayu B,178,20,8
Manunggal 118,118,25,7
Sate B,106,25,8
Sate A,56,25,7
Mantang 123,123,15,8
Jalan A,421,25,7
Lagoa,99,25,4
Beting 140,140,25,10
Beting 139,139,25,8
Korma B,130,25,8
Korma A,58,25,10
Korma C,73,25,7
Krematorium,170,20,8
Kapal E,169,25,9
Kelapa B,433,25,8
Bhakti 444,444,25,8
Kelapa 131,131,25,7
Kelapa 57,57,25,8
Kelapa 439,439,25,7
Sawah Baru,184,25,8
Sawah 1,1,25,9
Merdeka A,155,25,8
Pelabuhan 237,237,20,8
Bhakti 141,141,25,7
RW 02 135,135,25,8
Pelabuhan 233,233,20,8
Pelabuhan 236,236,20,9
Nakula,439,25,7
RW 01 B 62,62,25,9
RW 01 A 117,117,25,6
Pelelangan B,143,25,10
Cemara C,431,25,8
Kelapa Hijau,435,25,7
durian,434,25,8
Pelelangan A,64,25,11
mandiri,441,25,9
Kapling A,40,20,10
Kosambi 70,70,16,7
Kapal B,45,25,10
Bendungan Melayu B,419,25,9
Bendungan Melayu A,418,25,8
Tugu A,127,25,10
Beting 60,60,25,9
Macan D,193,20,9
Sapi B,119,25,10
