branch_code,name,code,description,address,collection_day,collection_schedule
b11,1.1 Lagoa,1.1,,Lagoa,Senin,
b11,1.10 Jalan F,1.10,,Jalan F,Kamis,
b11,1.12 Lagter,1.12,,Lagter,Kamis,
b11,1.13 Pembangunan,1.13,,Pembangunan,Selasa,
b11,1.14 Jampea,1.14,,Jampea,Rabu,
b11,1.15 Lorong,1.15,,Lorong,Kamis,
b11,1.16 Cipucang,1.16,,Cipucang,Senin,
b11,1.17 Jalan F,1.17,,Jalan F,Kamis,
b11,1.18 Lorong,1.18,,Lorong,Selasa,
b11,1.18 Lorong,1.18,,Lorong,Senin,
b11,1.19 Lagter,1.19,,Lagter,Selasa,
b11,1.2 Pembangunan,1.2,,Pembangunan,Kamis,
b11,1.21 Lagoa,1.21,,Lagoa,Selasa,
b11,1.22 Lagoa,1.22,,Lagoa,Kamis,
b11,1.23 Sawah  ,1.23,,Sawah  ,Selasa,
b11,1.24 Flamboyan,1.24,,Flamboyan,Rabu,
b11,1.25 Lagter,1.25,,Lagter,Kamis,
b11,1.26 Cipucang,1.26,,Cipucang,Rabu,
b11,1.27 Lorong,1.27,,Lorong,Senin,
b11,1.29 Mantang,1.29,,Mantang,Selasa,
b11,1.3 Lagter,1.3,,Lagter,Selasa,
b11,1.30 Patimura,1.30,,Patimura,Rabu,
b11,1.31 Lagter,1.31,,Lagter,Selasa,
b11,1.32 Cipucang,1.32,,Cipucang,Rabu,
b11,1.33 Binangun,1.33,,Binangun,Rabu,
b11,1.34 Lorong,1.34,,Lorong,Kamis,
b11,1.35 Lagoa,1.35,,Lagoa,Kamis,
b11,1.37 Pembangunan,1.37,,Pembangunan,Kamis,
b11,1.38 Mundu,1.38,,Mundu,Rabu,
b11,1.39 Gang Fort,1.39,,Gang Fort,Selasa,
b11,1.4 Jalan E,1.4,,Jalan E,Rabu,
b11,1.40 Cipucang,1.40,,Cipucang,Selasa,
b11,1.41 Mundu,1.41,,Mundu,Rabu,
b11,1.43 Mantang,1.43,,Mantang,Rabu,
b11,1.44 Cipucang,1.44,,Cipucang,Selasa,
b11,1.48 Kincir,1.48,,Kincir,Selasa,
b11,1.49 Sawah Baru,1.49,,Sawah Baru,Rabu,
b11,1.5 Mengkudu,1.5,,Mengkudu,Kamis,
b11,1.51 Lagter,1.51,,Lagter,Selasa,
b11,1.52 Lorong,1.52,,Lorong,Rabu,
b13,1.54 Warakas,1.54,,Warakas,Kamis,
b11,1.55 Lagter,1.55,,Lagter,Kamis,
b13,1.56 Sutim,1.56,,Sutim,Senin,
b13,1.57 Papanggo,1.57,,Papanggo,Kamis,
b11,1.58 Lagoa,1.58,,Lagoa,Kamis,
b11,1.59 Deli,1.59,,Deli,Kamis,
b11,1.6 Jalan F,1.6,,Jalan F,Selasa,
b11,1.60 Binangun,1.60,,Binangun,Senin,
b11,1.61 Lorong,1.61,,Lorong,Senin,
b11,1.62 Lagter,1.62,,Lagter,Kamis,
b11,1.63 Lagter,1.63,,Lagter,Kamis,
b11,1.64 Mengkudu,1.64,,Mengkudu,Kamis,
b11,1.65 Lorong,1.65,,Lorong,Senin,
b11,1.66 Lagter,1.66,,Lagter,Kamis,
b11,1.67 Lagoa,1.67,,Lagoa,Senin,
b11,1.68 Mantang,1.68,,Mantang,Kamis,
b11,1.69 Cikijang,1.69,,Cikijang,Kamis,
b11,1.7 Mantang,1.7,,Mantang,Selasa,
b11,1.70 Lorong,1.70,,Lorong,Kamis,
b11,1.71 Deli,1.71,,Deli,Rabu,
b11,1.72 Jalan B,1.72,,Jalan B,Rabu,
b11,1.73 Sawah Baru,1.73,,Sawah Baru,Rabu,
